filename,path,operationId,verb,response_object,tags,stackql_service_name,stackql_resource_name,stackql_method_name,stackql_verb
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId}/lifecycle/deactivate,deactivateAuthorizationServerPolicyRule,post,,AuthorizationServerRules,authorization_servers,rules,deactivate_authorization_server_policy_rule,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/scopes,listOAuth2Scopes,get,OAuth2Scope,AuthorizationServerScopes,authorization_servers,scopes,list_oauth2_scopes,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/scopes,createOAuth2Scope,post,OAuth2Scope,AuthorizationServerScopes,authorization_servers,scopes,create_oauth2_scope,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/scopes/{scopeId},getOAuth2Scope,get,OAuth2Scope,AuthorizationServerScopes,authorization_servers,scopes,get_oauth2_scope,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/scopes/{scopeId},replaceOAuth2Scope,put,OAuth2Scope,AuthorizationServerScopes,authorization_servers,scopes,replace_oauth2_scope,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/scopes/{scopeId},deleteOAuth2Scope,delete,,AuthorizationServerScopes,authorization_servers,scopes,delete_oauth2_scope,
management-minimal.yaml,/api/v1/behaviors,listBehaviorDetectionRules,get,BehaviorRule,Behavior,behaviors,detection_rules,list_behavior_detection_rules,
management-minimal.yaml,/api/v1/behaviors,createBehaviorDetectionRule,post,BehaviorRule,Behavior,behaviors,detection_rules,create_behavior_detection_rule,
management-minimal.yaml,/api/v1/behaviors/{behaviorId},getBehaviorDetectionRule,get,BehaviorRule,Behavior,behaviors,detection_rules,get_behavior_detection_rule,
management-minimal.yaml,/api/v1/behaviors/{behaviorId},replaceBehaviorDetectionRule,put,BehaviorRule,Behavior,behaviors,detection_rules,replace_behavior_detection_rule,
management-minimal.yaml,/api/v1/behaviors/{behaviorId},deleteBehaviorDetectionRule,delete,,Behavior,behaviors,detection_rules,delete_behavior_detection_rule,
management-minimal.yaml,/api/v1/behaviors/{behaviorId}/lifecycle/activate,activateBehaviorDetectionRule,post,BehaviorRule,Behavior,behaviors,detection_rules,activate_behavior_detection_rule,
management-minimal.yaml,/api/v1/behaviors/{behaviorId}/lifecycle/deactivate,deactivateBehaviorDetectionRule,post,BehaviorRule,Behavior,behaviors,detection_rules,deactivate_behavior_detection_rule,
management-minimal.yaml,/api/v1/brands,listBrands,get,BrandWithEmbedded,Brands,brands,brands,list_brands,
management-minimal.yaml,/api/v1/brands,createBrand,post,Brand,Brands,brands,brands,create_brand,
management-minimal.yaml,/api/v1/brands/{brandId},getBrand,get,BrandWithEmbedded,Brands,brands,brands,get_brand,
management-minimal.yaml,/api/v1/brands/{brandId},replaceBrand,put,Brand,Brands,brands,brands,replace_brand,
management-minimal.yaml,/api/v1/brands/{brandId},deleteBrand,delete,,Brands,brands,brands,delete_brand,
management-minimal.yaml,/api/v1/brands/{brandId}/domains,listBrandDomains,get,BrandDomains,Brands,brands,brands,list_brand_domains,
management-minimal.yaml,/api/v1/brands/{brandId}/pages/error,getErrorPage,get,PageRoot,CustomPages,brands,,get_error_page,
management-minimal.yaml,/api/v1/brands/{brandId}/pages/error/customized,getCustomizedErrorPage,get,ErrorPage,CustomPages,brands,customized_error_page,get_customized_error_page,
